ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
110033,1984,0,0,0,0,15,0,0,0,0,0
110034,1984,18,0,7,0,0,0,0,0,0,0
110035,1984,27,27,27,27,27,27,27,27,27,27
110036,1984,0,0,0,0,0,0,0,0,0,0
110037,1984,12,12,12,12,12,12,12,12,12,12
110038,1984,0,0,0,0,0,0,0,0,0,0
110039,1984,0,0,0,0,0,0,11,0,0,0
110040,1984,0,0,0,0,0,0,0,0,0,0
110041,1984,6,0,0,0,0,0,0,0,0,0
110042,1984,0,0,0,0,0,0,0,0,0,0
110043,1984,13,13,13,13,13,13,13,13,13,15
110044,1984,0,0,0,0,0,0,0,0,0,0
110045,1984,22,22,22,22,22,22,22,22,22,22
110046,1984,0,18,0,8,0,0,0,0,0,0
110047,1984,0,0,0,0,0,0,0,0,0,0
110048,1984,0,0,10,0,0,0,0,0,0,0
110049,1984,23,23,23,23,23,23,23,23,23,23
110050,1984,26,8,14,33,34,31,18,23,16,14
110051,1984,0,0,0,0,0,0,0,0,0,0
110052,1984,0,0,0,0,0,0,0,0,10,16
110053,1984,11,11,11,11,11,11,11,11,11,11
110054,1984,0,0,0,0,0,0,9,0,0,0
110055,1984,18,18,18,18,18,18,18,18,18,18
110056,1984,9,9,9,9,9,9,9,9,9,9
110057,1984,19,25,42,20,0,0,0,0,0,0
120001,1984,0,0,0,0,0,0,0,14,8,0
120002,1984,0,4,18,4,11,10,13,22,11,30
120003,1984,23,23,23,23,23,23,23,23,23,23
120004,1984,18,18,18,18,18,18,18,18,18,18
120005,1984,16,8,13,15,3,33,13,9,8,18
120006,1984,13,12,0,0,9,0,0,0,0,0
120007,1984,13,13,13,13,13,13,13,13,13,13
120008,1984,0,0,0,0,0,0,5,0,0,0
120009,1984,0,0,0,0,0,0,0,0,12,0
120010,1984,0,0,0,0,0,13,0,0,0,0
120011,1984,18,5,5,5,5,5,5,5,5,5
